Timestamp,Model,Logs Processed,Total Time (s),Actual Time (s),Performance (logs/s)
2025-08-14 14:09:14,gpt-4o-mini,50,74.97,74.97,0.67
2025-08-14 14:10:52,gpt-4.1-mini,50,97.76,97.76,0.51
2025-08-14 14:12:06,gpt-4.1-nano,50,73.49,73.49,0.68
2025-08-14 14:22:36,gemini-2.5-flash,50,629.91,286.91,0.17
2025-08-14 14:27:23,gemini-2.5-flash-lite,50,287.31,42.31,1.18
2025-08-14 14:28:06,gemma3:1b,50,42.74,42.74,1.17
2025-08-14 14:35:09,phi4-mini:3.8b,50,111.34,111.34,0.45
2025-08-14 16:17:17,gpt-5,415,4167.85,4167.85,0.1
2025-08-14 16:39:54,gemma3:12b,415,3501.19,3501.19,0.12
2025-08-14 17:12:05,gpt-5-mini,415,3287.77,3287.77,0.13
2025-08-14 17:30:45,mistral:7b,415,3051.04,3051.04,0.14
2025-08-14 18:07:29,gpt-5-nano,415,3324.42,3324.42,0.12
2025-08-14 18:49:54,o3,415,2544.82,2544.82,0.16
2025-08-14 18:51:35,phi4:14b,415,4850.73,4850.73,0.09
2025-08-14 19:30:54,o4-mini,415,2459.28,2459.28,0.17
2025-08-14 19:35:35,llama3.1:8b,415,2639.39,2639.39,0.16
2025-08-14 22:16:10,gemini-2.5-pro,415,3741.4,3741.4,0.11
2025-08-14 22:55:39,gemini-2.5-flash,415,2369.05,2369.05,0.18
2025-08-14 22:59:41,gemini-2.5-flash-lite,415,242.55,242.55,1.71
